Holdings details

S&P 500 Growth ETF (VOOG)


Equity,as of 11/30/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2046251,Apple Inc,AAPL,12.38%,"Technology Hardware, Storage & Peripherals",US,---,"$1,778,514,233.85","7,493,845"
,2379504,NVIDIA Corp,NVDA,11.67%,Semiconductors,US,---,"$1,676,272,678.50","12,124,938"
,2588173,Microsoft Corp,MSFT,10.80%,Systems Software,US,---,"$1,551,393,137.52","3,663,612"
,2000019,Amazon.com Inc,AMZN,6.66%,Broadline Retail,US,---,"$957,126,807.34","4,604,006"
,B7TL820,Meta Platforms Inc,META,4.31%,Interactive Media & Services,US,---,"$618,434,667.84","1,076,812"
,BYVY8G0,Alphabet Inc,GOOGL,3.40%,Interactive Media & Services,US,---,"$487,873,536.00","2,887,680"
,B616C79,Tesla Inc,TSLA,3.29%,Automobile Manufacturers,US,---,"$472,021,141.88","1,367,543"
,BYY88Y7,Alphabet Inc,GOOG,2.81%,Interactive Media & Services,US,---,"$403,626,891.48","2,367,452"
,BDZ78H9,Broadcom Inc,AVGO,2.59%,Semiconductors,US,---,"$371,863,223.52","2,294,319"
,2516152,Eli Lilly & Co,LLY,2.15%,Pharmaceuticals,US,---,"$309,238,442.80","388,808"
,2857817,Netflix Inc,NFLX,1.31%,Movies & Entertainment,US,---,"$187,577,164.39","211,519"
,B2PZN04,Visa Inc,V,1.19%,Transaction & Payment Processing Services,US,---,"$171,201,553.72","543,359"
,2310525,Salesforce Inc,CRM,1.10%,Application Software,US,---,"$157,595,964.22","477,578"
,B121557,Mastercard Inc,MA,1.09%,Transaction & Payment Processing Services,US,---,"$156,028,843.80","292,770"
,2661568,Oracle Corp,ORCL,1.01%,Systems Software,US,---,"$145,612,885.52","787,778"
,2008154,Adobe Inc,ADBE,0.79%,Application Software,US,---,"$112,750,826.27","218,539"
,2007849,Advanced Micro Devices Inc,AMD,0.76%,Semiconductors,US,---,"$109,422,714.23","797,687"
,B80NXX8,ServiceNow Inc,NOW,0.74%,Systems Software,US,---,"$106,551,742.08","101,532"
