Holdings details

S&P 500 Growth ETF (VOOG)


Equity,as of 10/31/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2046251,Apple Inc,AAPL,12.48%,"Technology Hardware, Storage & Peripherals",US,---,"$1,648,462,333.17","7,296,987"
,2379504,NVIDIA Corp,NVDA,11.87%,Semiconductors,US,---,"$1,567,422,045.08","11,806,433"
,2588173,Microsoft Corp,MSFT,10.98%,Systems Software,US,---,"$1,449,635,339.25","3,567,455"
,2000019,Amazon.com Inc,AMZN,6.33%,Broadline Retail,US,---,"$835,669,971.20","4,483,208"
,B7TL820,Meta Platforms Inc,META,4.51%,Interactive Media & Services,US,---,"$595,135,441.42","1,048,549"
,BYVY8G0,Alphabet Inc,GOOGL,3.64%,Interactive Media & Services,US,---,"$481,161,148.89","2,811,999"
,BYY88Y7,Alphabet Inc,GOOG,3.01%,Interactive Media & Services,US,---,"$398,081,361.51","2,305,179"
,BDZ78H9,Broadcom Inc,AVGO,2.87%,Semiconductors,US,---,"$379,280,610.45","2,234,085"
,B616C79,Tesla Inc,TSLA,2.52%,Automobile Manufacturers,US,---,"$332,711,753.10","1,331,646"
,2516152,Eli Lilly & Co,LLY,2.38%,Pharmaceuticals,US,---,"$314,135,415.30","378,595"
,2857817,Netflix Inc,NFLX,1.18%,Movies & Entertainment,US,---,"$155,714,206.89","205,963"
,B2PZN04,Visa Inc,V,1.16%,Transaction & Payment Processing Services,US,---,"$153,371,518.85","529,141"
,B121557,Mastercard Inc,MA,1.08%,Transaction & Payment Processing Services,US,---,"$142,440,602.85","285,115"
,2310525,Salesforce Inc,CRM,1.03%,Application Software,US,---,"$135,503,075.35","465,055"
,2661568,Oracle Corp,ORCL,0.98%,Systems Software,US,---,"$128,759,798.72","767,158"
,2007849,Advanced Micro Devices Inc,AMD,0.85%,Semiconductors,US,---,"$111,911,703.09","776,787"
